"filename", "language", "C++", "Shell Script", "Markdown", "Properties", "YAML", "Dart", "Java", "Objective-C", "Swift", "Ruby", "C", "Gradle", "XML", "comment", "blank", "total"
"/Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/example/pubspec.yaml", "YAML", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 42, 14, 72
"/Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/ios/Classes/Sqlite3FlutterLibsPlugin.h", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/ios/Classes/Sqlite3FlutterLibsPlugin.m", "Objective-C", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 3, 8
"/Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/ios/sqlite3_flutter_libs.podspec", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 5, 4, 30
"/Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/lib/sqlite3_flutter_libs.dart", "Dart", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 17, 7, 38
"/Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/linux/include/sqlite3_flutter_libs/sqlite3_flutter_libs_plugin.h", "C++", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 27
"/Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/linux/sqlite3_flutter_libs_plugin.cc", "C++", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8
"/Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/macos/Classes/Sqlite3FlutterLibsPlugin.h", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/macos/Classes/Sqlite3FlutterLibsPlugin.m", "Objective-C", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 3, 8
"/Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/macos/sqlite3_flutter_libs.podspec", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 4, 2, 25
"/Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/pubspec.yaml", "YAML", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"/Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/windows/include/sqlite3_flutter_libs/sqlite3_flutter_libs_plugin.h", "C++", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24
"/Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/windows/sqlite3_flutter.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"/Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/windows/sqlite3_flutter_libs_plugin.cpp", "C++", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"/Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
